id,popularity,artist_total_followers
3MCxkaTJmYKH0FZbe3rYxa,44,105655
1EwStlJbpwWP3NBYmNzRPP,35,20499
6DW1Yqi5B34jRtn9hPLvFp,43,86446
7t6GsqGAwrj1kwYbvNX0hN,47,91622
6QBjIWtjbAy2Yfi9maLoZ4,27,12347
6SSXfZGnJaNajWRPGHq4JL,38,36274
435UmkDo0uchwmDeHdKWGN,41,37948
7lghcHbrdt7sqHWeya15aV,29,2462
7oi3qhC7S5XIXYz15C4JHt,28,2822
1zEgVwAUxnTP5DDnmZbJnw,31,8251
4U33udokhmKATsu8UoqUEN,47,111510
1jzrVsvcSp4J1n5OctWBEu,10,1092
0FC1LIeQXKib0jOwZqeIwT,52,186807
6saBjzFSNu2pvTcfWWE04R,27,6605
3koiLjNrgRTNbOwViDipeA,72,4701308
483bBNsBBCvjAnx2Sc8BHc,26,3168
7o7zpXvp9gkBEEy67YkXvo,20,4171
0IDSJa4NZqzjo1kwUi7ey5,25,1475
1Jh4IqgvAA9gsBdCajOZ9u,23,5294
67muZL7DIwZwLnH9BFfI5Z,45,34507
7cFsbZP9IPkMOR4I3JBixG,1,235
0FVj4JuzTyudaXAwfqDQ20,55,105656
3koiLjNrgRTNbOwViDipeA,72,4701308
2vd6N0yWTqEdvio3oCSfAt,21,1139
34bRMaqn8RkcuRMBHoIom1,5,850
6LELnUvu7Fq0hV1LACQuXZ,2,223
1K9StKJwGGoLa53jg9pWDp,2,210
5AztyG5JSIPM9UozcKMlBq,28,9723
7Dz9goFmVZZqvJxZoKg7pF,55,10505
4oDjh8wNW5vDHyFRrDYC4k,63,511976
5Smb3KB29epOb92Btsxulb,45,100784
6yoW6SfviQ5D4Wa5jGxh7f,39,16299
2i9uaNzfUtuApAjEf1omV8,55,249139
1S0vL284jxZYKtZQ2jsQ2X,48,229112
1itM5tXaK5THggpXA7ovAe,52,225222
6FbDoZnMBTdhhhLuJBOOqP,58,653779
1S0vL284jxZYKtZQ2jsQ2X,48,229112
7kWwQAe9JnYNMk4kuEe73S,43,43652
7ufjo5jO7vQfG6Zg0QzWEJ,36,6963
4fw9oPmbbmHW5aAJpkJdlI,40,109547
5YuPLav1vGZmaeeASQrsQK,19,3486
5IASPTbco70KYmxQwSg8E1,25,1110
5lB9hKk7gAgG5tkb9N1LaJ,45,48860
2NWimAynlyqVUWD4YnJHlC,31,12507
0UOrN3LNaKApiOSdvJiETl,37,56532
2YQ6mXz32l37Vk7G6595Lk,4,341
5cVZnnikhcTwPENYemDKF6,30,3456
4ejp2yEDQIIJIy0iFpoI5B,45,289204
1C844mwQd4BOI6pJSgxfiC,30,5457
1D79GNF7t5kzqprHFZmBLx,4,289
6UdKtISMXYKSR8jcgtFePo,51,131492
5buTKeJ19EBEcckqTe0XqP,28,4737
4XMc1qHObZ7aXQrH5MmbjK,47,63992
3d7MqowTZa2bC5iy1JXLLt,42,55158
4Ky0ZDJDfY7UBbTVYPyVKc,37,8639
4BXF9pCPS864m8VMjuR4Pl,36,7870
3NsSv8HchEwfa7bGkjb4ZC,34,8216
5e1SaJPn6U7YpOrNTkW1jH,40,11970
5iRM7qYip6UNfQaPe2reCz,46,42490
62Xs9S1gahH6vGEJ24qdkK,27,9315
0dLWSYE7my9AbpQYNJ0ABV,53,286154
6pmxr66tMAePxzOLfjGNcX,57,930954
16lGevDffmuRakKVvdJ983,41,22098
2wouN3QXejYa5tKetYdcVX,48,230449
72Swt388IKfP1jAgkiE17L,19,6317
0x3sTIYnP56TnL6bbyMU2i,34,23514
2rTfAlIGCbL5KEsonGRCnt,33,12428
2fXWJ2cdRi1rKg3AaEH8vp,26,7390
42NjRVKqEGe2DkGvlUd5qM,40,56681
2wCEpu2tMAildqH0BrJNT7,29,6564
2bmhdBR4FyCbRIBSFoLTuE,42,21826
5wONG6j4El6k5iOXQdA0Ha,24,2562
7DRjM0vtwvKxZYnd9mPaP9,33,28889
5HthaLyG6SfVxEuA94MAjm,31,19469
4fw9oPmbbmHW5aAJpkJdlI,40,109547
4grFkvUAEj8IWdGDEJ2F4b,34,11254
34nBPbcVc9F9eizQC4a5aT,40,46672
5k0yfdXdFtTchGiTClhRX6,11,3468
3oD0OVwOhvLSTvd2fOFCuS,30,13952
6jQOXqTfEM0HY3ee6OE6kI,24,3411
2NNLlRoOgdg1EL1jmx2Tjf,28,13608
1EUmQM6xgUQLUkJVcvSdey,55,743130
2QGWBYPcbTEVS8Kj0Ncjtx,19,1551
4JmNcZTOHBnR8PYl4LfIX6,43,61178
5Qh93wOYyjJQkvYqKNfaRR,9,622
4zbxpLFyPdF7tSA1TPpJuL,26,4705
1iyCgLwjC23mOjuDxY9sLu,34,41983
337iYuRKw6oyOfxsxRuR0o,44,14730
4LADVWbGgajvchOHelqZv2,46,102498
0clW3k6uf5DKKad9bGWKDe,0,28
4LIR7XQRqn0CyXMYSjKoTX,50,179991
6Ct50lb1SYNbNs1JEPDGcJ,2,63
5V3jrXyBN4MsGyMjUMAsqb,3,424
428BJ6UrRiqssMjAWEujtR,8,566
3X9JFBOt5NABUu5eQAbzcp,6,1565
6IwPtS5L4cV9yCB66mhheZ,27,20341
4mq3N5MJRHIbGHme2Gxwn8,16,6748
2y1Se69lBJcw9GPYEJKQVj,27,11481
20CftWJeT5Zd2jUbMCzi8v,2,262
0ifxsBUXLEpdg0DJq5F14E,17,2033
1ikg4sypcURm8Vy5GP68xb,54,117728
6IvIbSOsPLkPS4N1MO4Fdy,48,11885
